Module,Symbol,Description,Min ,Max,Nominal Value,Units,Source,,Type,Comment
MarsPower,Results.Cum_Surface_Power ,"if no power input, use DRA5 number.",,,26,kW,DRA5,,parameter,
MarsPower,Brayton_Eff,Reactor,,,0.24,,,,parameter,
MarsPower,FuelDen,Reactor,0,1,0.96,%,,,parameter,
MarsPower,UN_Energy,Reactor,,,65000,kW-days/kg,,,parameter,
MarsPower,Rod_Number,Reactor,,,8,,,,parameter,
MarsPower,Rod_Radius ,Reactor,,,0.0059,m,,,parameter,
MarsPower,Neutron_Reflector_Thickness,Reactor,,,0.1,m,,,parameter,
MarsPower,B4C_Den ,Material Densities,,,2520,kg/m3,,,parameter,
MarsPower,BeO_Den,Material Densities,,,3000,kg/m3,,,parameter,
MarsPower,LiH_Den,Material Densities,,,780,kg/m3,,,parameter,
MarsPower,Tung_Den,Material Densities,,,19250,kg/m3,,,parameter,
MarsPower,Sigma_a,EFFECTIVE NEUTRON MULTIPLICATION FACTOR COEFFICIENTS,,,0.02277,,,,parameter,
MarsPower,RSigma_f ,EFFECTIVE NEUTRON MULTIPLICATION FACTOR COEFFICIENTS,,,0.04391,,,,parameter,
MarsPower,Sigma_tr,EFFECTIVE NEUTRON MULTIPLICATION FACTOR COEFFICIENTS,,,0.384,,,,parameter,
MarsPower,Duration_Yrs,NUCLEAR Rx,,,10,years,,,parameter,
MarsPower,Wire_Eff ,NUCLEAR Rx,0,1,0.98,%,,,parameter,
MarsPower,Li_Shield_Thck,RADIATION SHIELDING,,,0.1,m,,,parameter,
MarsPower,Rad_Mass100 ,RADIATOR (100 kWe Design),,,720,kg,,,parameter,
MarsPower,Rad_Vol100 ,RADIATOR (100 kWe Design),,,1.728,m^3,,,parameter,
MarsPower,Rad_Area100 ,RADIATOR (100 kWe Design),,,22.43,m^2,,,parameter,
MarsPower,PowerPlant_Distance ,"distance from power plant to habitat, DRA5, no sheild",,,3000,m,,,parameter,
MarsPower,RFCMassT ,Solar w/ Regenerative Fuel Cell Storage - Mass Specific Power ,,,[4.845010567 7.833596698 9.841331374 11.31986659 12.46520732 13.40169797 14.18348732 14.86331412 15.46299724 16.00481623 16.49705038 16.94919278 17.36792385 17.75014533 18.09149292 18.37767261 18.56919109 18.61464779 18.3097226 16.33125137 15.05009617 13.75409675 12.11506707 9.832893282 6.283439143],W/kg,,,parameter,
MarsPower,RFCVolT,Solar w/ Regenerative Fuel Cell Storage - Volume Specific Power,,,[291.7468514 527.2660964 716.7809428 875.6959312 1011.727129 1132.201472 1239.729571 1338.690399 1430.458445 1517.144652 1599.182895 1677.41138 1752.437133 1823.276943 1888.668668 1945.467704 1985.668067 1998.58092 1945.284234 1599.118296 1390.217495 1196.965702 979.633325 721.094657 400.0783237],W/m^3,,,parameter,
MarsPower,BattMassT,Solar w/ Lithium-Ion Battery Storage - Mass Specific Power,,,[4.364712409 6.67559655 8.104392063 9.103719142 9.850820857 10.44611402 10.93315193 11.35002896 11.71295531 12.03727493 12.3290483 12.59478129 12.83897158 13.06013452 13.25602269 13.41847127 13.52437953 13.5440157 13.35682488 12.17109275 11.40516687 10.61699711 9.586809323 8.07482646 5.498705418],W/kg,,,parameter,
MarsPower,BattVolT,Solar w/ Lithium-Ion Battery Storage,,,[292.6896298 530.2758055 722.2615266 883.7864188 1022.433241 1145.511762 1255.589822 1357.08213 1451.354303 1540.542658 1625.070869 1705.783305 1783.291738 1856.567668 1924.290231 1983.18504 2024.931397 2038.410783 1983.265893 1625.565605 1410.458251 1212.11723 989.8947949 726.7352519 401.8533821],W/m^3,,,parameter,
MarsPower,Results.PowerPlant.Mass,,,,,kg,,,output,
MarsPower,Results.PowerPlant.Volume,,,,,m3,,,output,
MarsPower,MarsLatT ,SOLAR POWER VS MARS LATITUDE,,,[-60 -55 -50 -45 -40 -35 -30 -25 -20 -15 -10 -5 0 5 10 15 20 25 30 35 40 45 50 55 60],deg,,,input,
MarsPower,Results.Surface_Habitat.Power,,,,,kW,,,input,
MarsPower,Results.ECLSS.Power,,,,,kW,,,input,
MarsPower,Results.Mars_ISRU.Power,,,,,kW,,,input,
MarsPower,Cur_Arch.SurfacePower,,,,"[Nuclear, Solar]",type,,,input,
ISFR and Sparing,SparesRatio,percentage of Mass per Year,0,1,0.05,%percentage,"Leath and Green, 1993",,parameter,
ISFR and Sparing,Synod,Years per Synodic Cycle,,,2.137,years,,,parameter,
ISFR and Sparing,Results.Surface_Habitat.Spares,,,,,kg,,,output,
ISFR and Sparing,Results.ECLSS.Spares,,,,,kg,,,output,
ISFR and Sparing,Results.Mars_ISRU.Spares,,,,,kg,,,output,
ISFR and Sparing,Results.PowerPlant.Spares,,,,,kg,,,output,
ISFR and Sparing,Results.Surface_Habitat.Mass,,,,,kg,,,input,
ISFR and Sparing,Results.ECLSS.Mass,,,,,kg,,,input,
ISFR and Sparing,Results.Mars_ISRU.Mass,,,,,kg,,,input,
ISFR and Sparing,Results.PowerPlant.Mass,,,,,kg,,,input,
Astronaut_Time,personal,"%sleeping 8, exercise 2, hygiene 1, personal 2",0,24.66,13,hours,,,parameter,
Astronaut_Time,Cur_Arch.SurfaceCrew.Size,,,,,people,,,input,
Astronaut_Time,CrewFood,,,,,crew-hours,,,input,
Astronaut_Time,Cur_Arch.CrewTrajectory.Type,,,,"[HOHMANN, ELIPTICAL, ALDRIN, LONGCYCLER, SHORTCYCLER]",type,,,input,
Astronaut_Time,Results.Science_Time,,,,,crewman-hours per synod,,,output,
Descent,Site_Elevation,,,,,km,,,input,
Descent,Results.Consumables,,,,,kg,,,input,
Descent,Results.Spares,,,,,kg,,,input,
Descent,Results.Replacements,,,,,kg,,,input,
Descent,AscentSpacecraft.Mass,,,,,kg,,,input,
NewTransit,Capture_Time,%days based on DRA 5.0?,,,30,days,DRA5,,parameter,
NewTransit,Cap_Stage.Bus_Mass,"Based on DRA 5.0, including payload fairing & adapter",,,66100,kg,DRA5,,parameter,
NewTransit,Cur_Arch.EDL,,0,1,,binary,,,input,
NewTransit,ArrivalDescent.AEROENTRY,,0,1,,binary,,,input,
NewTransit,ArrivalEntry.PROPULSIVE,,,,,binary,,,input,
NewTransit,Cur_Arch.PropulsionType,,,,,type,,,input,
NewTransit,spacecraft.Mass,,,,,kg,,,input,
NewTransit,spacecraft.Add_Craft,,,,,kg,,,output,
NewTransit,spacecraft.MAMA,,,,,kg,,,output,
NewTransit,Results.Science_Time,,,,,crewman-hours/synod,,,output,
Lunar_ISRU,S_Reactor_Volume ,,,,36.77,m3,,,parameter,
Lunar_ISRU,Results.Lunar_ISRU.Num,,,,,#,,,output,
Lunar_ISRU,Results.Lunar_ISRU.Mass,,,,,kg,,,output,
Lunar_ISRU,Results.Lunar_ISRU.Power,,,,,kW,,,output,
Lunar_ISRU,Results.Lunar_ISRU.Spares,,,,,kg,,,output,
Lunar_ISRU,FerrySpacecraft.Add_Craft,,,,,kg,,,output,
Staging Module,Results.IMLEO,,,,,kg,,,output,
Staging Module,Results.CargoSpacecraft.Add_Craft,,,,,kg,,,output,
Staging Module,Results.HumanSpacecraft.Add_Craft,,,,,kg,,,output,
Staging Module,Cur_Arch.PropulsionType,,,,,type,,,input,
Staging Module,Results.HumanSpacecraft.Mass,,,,,kg,,,input,
Site_Selection,        Site_Sci_Value,case Site.HOLDEN,,,7.25,,%Based on internal Site selection document,,parameter,
Site_Selection,        Site_Elevation,case Site.HOLDEN,,,-4.5,km,,,parameter,
Site_Selection,        Site_Water_Percent,case Site.HOLDEN,,,2,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat,case Site.HOLDEN,,,-26.4,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value,    case Site.GALE,,,6.5,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation,    case Site.GALE,,,-4.5,km,,,parameter,
Site_Selection,        Site_Water_Percent,    case Site.GALE,,,6,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.GALE,,,-5.4,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value ,    case Site.MERIDIANI,,,5.25,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation ,    case Site.MERIDIANI,,,-1.3,km,,,parameter,
Site_Selection,        Site_Water_Percent ,    case Site.MERIDIANI,,,7,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.MERIDIANI,,,-2.1,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value ,    case Site.GUSEV,,,9,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation ,    case Site.GUSEV,,,-1.9,km,,,parameter,
Site_Selection,        Site_Water_Percent ,    case Site.GUSEV,,,8,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.GUSEV,,,-14.6,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value ,    case Site.ISIDIS,,,3.75,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation ,    case Site.ISIDIS,,,-4,km,,,parameter,
Site_Selection,        Site_Water_Percent,    case Site.ISIDIS,,,3,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.ISIDIS,,,4.2,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value ,    case Site.ELYSIUM,,,3.75,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation ,    case Site.ELYSIUM,,,-3,km,,,parameter,
Site_Selection,        Site_Water_Percent ,    case Site.ELYSIUM,,,5,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.ELYSIUM,,,11.7,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value,    case Site.MAWRTH,,,6.5,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation ,    case Site.MAWRTH,,,-2.2,km,,,parameter,
Site_Selection,        Site_Water_Percent,    case Site.MAWRTH,,,3.5,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.MAWRTH,,,23.9,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value,    case Site.EBERSWALDE,,,7,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation ,    case Site.EBERSWALDE,,,-1.4,km,,,parameter,
Site_Selection,        Site_Water_Percent,    case Site.EBERSWALDE,,,2.5,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.EBERSWALDE,,,-23.9,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value ,    case Site.UTOPIA,,,5.75,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation,    case Site.UTOPIA,,,-5,km,,,parameter,
Site_Selection,        Site_Water_Percent ,    case Site.UTOPIA,,,3.75,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.UTOPIA,,,46.7,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value ,    case Site.PLANUS_BOREUM,,,5,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation,    case Site.PLANUS_BOREUM,,,-5,km,,,parameter,
Site_Selection,        Site_Water_Percent,    case Site.PLANUS_BOREUM,,,64,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.PLANUS_BOREUM,,,88,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value,    case Site.HELLAS,,,5.75,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation ,    case Site.HELLAS,,,-7.2,km,,,parameter,
Site_Selection,        Site_Water_Percent ,    case Site.HELLAS,,,3,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat ,    case Site.HELLAS,,,-40,deg lat,,,parameter,
Site_Selection,        Site_Sci_Value ,    case Site.AMAZONIS,,,3.75,,%Based on internal Site selection document,,parameter,
Site_Selection,         Site_Elevation,    case Site.AMAZONIS,,,-3.5,km,,,parameter,
Site_Selection,        Site_Water_Percent ,    case Site.AMAZONIS,,,4,%,% Regolith Moisture Content extracted from Mars Odyssey: GRS H2O,,parameter,
Site_Selection,        Site_Lat,    case Site.AMAZONIS,,,24.8,deg lat,,,parameter,
Site_Selection,Results.Astronaut_Sci_Time,,,,,crewman-hours,,,input,
Site_Selection,Results.Site_Sci_Value,,,,,,,,input,
Site_Selection,Results.Science,,,,,,,,output,
ISRU,S_Plant_Output,,,,7.15,kg/day,,,parameter,
ISRU,M_Plant_Output,,,,11.95,kg/day,,,parameter,
ISRU,L_Plant_Output,,,,55.96,kg/day,,,parameter,
ISRU,Electrolysis_Plant_Mass,,,,38.5,kg,,,parameter,
ISRU,Electrolysis_Plant_Power,"%72 kWh per kilogram, times kg per day, divided by  24 hours running per day",,,108,kW,,,parameter,
ISRU,Electrolysis_Plant_Capacity,%kg of Water processed per day,,,36,kg/day,,,parameter,
ISRU,Sabatier_Mass ,,,,479.12,kg,,,parameter,
ISRU,Sabatier_Vol,,,,0.8,m^3,,,parameter,
ISRU,Sabatier_Power,,,,24.98,,,,parameter,
ISRU,Sabatier_Production,"DRA5 Addendum 1, Table 3-18, necessary CH4 for trip, divided by stay duration",,,13.23991935,"kg per day, CH4,",,,parameter,
ISRU,Cur_Arch.ReturnFuel,,,,,type,,,input,
ISRU,ECLSS_Requirements.Oxygen,,,,,kg 02,,,input,
ISRU,ECLSS_Requirements.Water,,,,,kg h20,,,input,
ISRU,Water_Percent,,,,,%,,,input,
ISRU,Results.Mars_ISRU.Mass,,,,,kg,,,output,
ISRU,Results.Mars_ISRU.Volume,,,,,m3,,,output,
ISRU,Results.Mars_ISRU.Power,,,,,kW,,,output,
ISRU,Results.Mars_ISRU.Consumables_Mass,,,,,kg,,,output,
Transit_Habitat,Num_Crew,,,,,ppl,,,Input,
Transit_Habitat,Days_to_Mars,,,,259,day,HSMAD pg. 255,,Parameter,
Transit_Habitat,Days_to_Earth,,,,258,day,HSMAD pg. 255,,Parameter,
Transit_Habitat,Days_Contingency,,,,455,day,,,Parameter,
Transit_Habitat,m_Airlock,,,,1250,kg,HSMAD Table 31-6,,Parameter,not used
Transit_Habitat,v_food_CM_Day,,,,0.00678,m^3/CM/day,BVAD Table 4.3.3 (including rack),,Parameter,
Transit_Habitat,v_Pressurized,,,,330,m^3,"Transhab, BA330",,Parameter,
Transit_Habitat,m_MOI_max,,,,126000,kg,"DRA 5.0 Aerocapture, Table 3-17, post-burn",,Parameter,
Transit_Habitat,m_transhab_dry,,,,20000,kg,"BA330, includes 1 airlock",,Parameter,
Transit_Habitat,v_waste,,,,20,m^3,WAG,,Parameter,
Transit_Habitat,m_spare,,,,500,kg,WAG,,Parameter,not used
Transit_Habitat,v_spare,,,,1,m^3,WAG,,Parameter,
Transit_Habitat,crew_day,,,,,day,,,Dependent Variable,
Transit_Habitat,m_crew_sys,,,,,kg,"HSMAD, Table 31-5",,Dependent Variable,
Transit_Habitat,p_crew_sys,,,,,kW,"HSMAD, Table 31-5",,Dependent Variable,
Transit_Habitat,v_crew_sys,,,,,m^3,,,Dependent Variable,
Transit_Habitat,m_crew,,,,,kg,,,Dependent Variable,
Transit_Habitat,m_food,,,,,kg,,,Dependent Variable,
Transit_Habitat,p_ECLSS,,,,,kW,"HSMAD, Table 31-7",,Dependent Variable,not used
Transit_Habitat,p_food,,,,,kW,,,Dependent Variable,not used
Transit_Habitat,v_food,,,,,m^3,,,Dependent Variable,not used
Transit_Habitat,p_transhab,,,,,kW,,,Dependent Variable,
Transit_Habitat,m_transhab,,,,,kg,,,Dependent Variable,
Transit_Habitat,v_crew,,,,,m^3,Assumes BA330,,Dependent Variable,
Transit_Habitat,margin,,,,,kg,,,Dependent Variable,not used
Transit_Habitat,Trans_SC.Hab_Vol,,,,,m^3,,,Output,
Transit_Habitat,Trans_SC.Volume,,,,,m^3,,,Output,
Transit_Habitat,Results.Transit_Habitat.Volume,,,,,m^3,,,Output,
Transit_Habitat,Trans_SC.Hab_Power,,,,,kW,,,Output,
Transit_Habitat,Results.Transit_Habitat.Power,,,,,kW,,,Output,
Transit_Habitat,Trans_SC.Hab_Mass,,,,,kg,,,Output,
Transit_Habitat,Results.Transit_Habitat.Mass,,,,,kg,,,Output,
Earth_Entry,Cur_Arch.TransitCrew.Size,,,,,ppl,,,Input,
Earth_Entry,Earth_Entry.Volume,,,,,m^3,,,Input,
Earth_Entry,Earth_Entry.Hab_Mass,,,,,kg,based on Apollo,,Dependent Variable,
Earth_Entry,Earth_Entry.Hab_Vol,,,,,m^3,based on Apollo,,Dependent Variable,
Earth_Entry,Earth_Entry.Bus_Mass,,,,,kg,based on Apollo,,Dependent Variable,
Earth_Entry,Earth_Entry.Payload_Vol,,,,0,m^3,,,Parameter,will be defined later?
Earth_Entry,Earth_Entry.Payload_Mass,,,,0,kg,,,Parameter,will be defined later?
Return_Trans,Cur_Prop,Uses Cur_Arch.PropulsionType,,,,,,,Input,
Return_Trans,Results.Mars_ISRU.Oxidizer_Output,,,,,,,,Input,
Return_Trans,Results.Mars_ISRU.Fuel_Output,,,,,,,,Input,
Return_Trans,Hohm_Chart,lookup for trans-earth injection,,,,,,,Input,
Return_Trans,dV,dV for Mars Departure,,,,km/s,,,Dependent Variable,
Return_Trans,Results.Mars_ISRU.Oxidizer_Output,,,,,,,,output,
Return_Trans,Results.Mars_ISRU.Fuel_Output,,,,,,,,output,
Return_Trans,Results.Mars_ISRU.CH4_Prop_Output,,,,,,,,output,
Propellant_Mass,prop_inst,propulsion architecture type,,,,-,,,Input,
Propellant_Mass,SC_Module,Return engine type,,,,-,,,Input,
Propellant_Mass,dV,,,,,km/s,,,Input,
Propellant_Mass,AdditionalSC_Mass,spacecraft mass,,,,kg,,,Input,
Propellant_Mass,g0,earth gravitational constant,,,0.0098665,km/s^2,,,paramater,
Propellant_Mass,e,,,,2.718281828,-,,,paramater,
Propellant_Mass,Final_Mass,total SC mass,,,,kg,,,Dependent Variable,
Propellant_Mass,Mass_Ratio,,,,,-,rocket equation,,Dependent Variable,
Propellant_Mass,SC_Module.Prop_Mass,,,,,kg,,,Dependent Variable,
Propellant_Mass,SC_Module.Static_Mass,,,,,kg,,,Output,
Propellant_Mass,SC_Module.Ox_Mass,,,,,kg,,,Output,
Propellant_Mass,SC_Module.Fuel_Mass,,,,,kg,,,Output,
Ascent,OverallSC,ascent vehicle,,,,,,,Input,No idea where this came from
Ascent,HumanSpacecraft.Get_Craft,earth entry module definition,,,,,,,Input,
Ascent,dV,Mars surface to LMO,,,,km/s,HSMAD Fig. 10-27,,Parameter,
Ascent,Fuel_Payload.Fuel_Mass,Mars ISRU fuel output,,,,kg,,,Output,
Ascent,Fuel_Payload.Ox_Mass     ,Mars ISRU oxidizer output,,,,kg,,,Output,
Ascent,Fuel_Payload.Bus_Mass,,,,,kg,,,Output,
Ascent,Ascent_Rocket,Ascent vehicl type,,,,-,,,Output,
Surface_Habitat,Cur_Arch.SurfaceCrew.Size,,,,,ppl,,,Input,
Surface_Habitat,Cur_Arch.FoodSupply.Amount,,,,,kg,,,Input,
Surface_Habitat,GreenHouse_Crop.Crop_Grow_Area,,,,,m^2,,,Input,
Surface_Habitat,Cur_Arch{1-4},type of architecture structure,,,fixed shell of inflatable,-,,,Input,
Surface_Habitat,BVAD.Facilities ,,,,185.13,m^3,,,Parameter,
Surface_Habitat,BVAD.Tunnel ,,,,263.43,m^3,,,Parameter,
Surface_Habitat,BVAD.Airlock ,,,,48,m^3,,,Parameter,
Surface_Habitat,Inflatable_Ratio ,,,,21.13,kg/m^3,Transhab used for ISS,,Parameter,
Surface_Habitat,Inflatable_Weight_Advantage ,,,,50,%,http://www.marshome.org/files2/Fisher.pdf. Inflatable habitats are 30-50% lighter than Hard Aluminum structures ,,Parameter,
Surface_Habitat,MARS2040.Surface_Duration,,,,780,days,,,Parameter,
Surface_Habitat,LAVAPOLIS.SectionOne ,,,,71.0613,m^3/CM,Prairie View A&M Mars Habitat study,,Parameter,
Surface_Habitat,LAVAPOLIS.SectionTwo ,,,,56.034,m^3/CM,Prairie View A&M Mars Habitat study,,Parameter,
Surface_Habitat,LAVAPOLIS.SectionThree ,,,,37.82295,m^3/CM,Prairie View A&M Mars Habitat study,,Parameter,
Surface_Habitat,LAVAPOLIS.SectionFour ,,,,71.0613,m^3/CM,Prairie View A&M Mars Habitat study,,Parameter,
Surface_Habitat,LAVAPOLIS.Tunnel ,,,,28.3,m^3/CM/Hall,Prairie View A&M Mars Habitat study,,Parameter,
Surface_Habitat,LAVAPOLIS.Airlock ,,,,28.3,m^3/CM/Airlock,Prairie View A&M Mars Habitat study,,Parameter,
Surface_Habitat,Marineris.Gym ,,,,137.538,m^3,,,Parameter,
Surface_Habitat,Marineris.Airlock ,,,,48,m^3,BVAD,,Parameter,
Surface_Habitat,Marineris.EVA_Prep ,,,,40.752,m^3/5CM,,,Parameter,
Surface_Habitat,Marineris.Office ,,,,64.1844,m^3,,,Parameter,
Surface_Habitat,Marineris.Medical ,,,,213.948,m^3/3CM,,,Parameter,
Surface_Habitat,Marineris.Lab ,,,,144.6686,m^3,,,Parameter,
Surface_Habitat,Marineris.Kitchen ,,,,132.444,m^3/5CM,,,Parameter,
Surface_Habitat,Marineris.Bathroom ,,,,24.4512,m^3,,,Parameter,
Surface_Habitat,Marineris.Bedroom ,,,,64.1844,m^3,,,Parameter,
Surface_Habitat,Marineris.Entertainment ,,,,156.8952,m^3,,,Parameter,
Surface_Habitat,Marineris.Storage ,,,,42.7896,m^3,,,Parameter,
Surface_Habitat,Marineris.Laundry ,,,,20.376,m^3,,,Parameter,
Surface_Habitat,Regolith_Constant ,,,,9.157,kg/m^3,BVAD,,Parameter,
Surface_Habitat,DesignChoice,choice variabe for which hab design you want,,,3,-,,,Parameter,
Surface_Habitat,Surf_Power ,,,,0,kW,,,Parameter,
Surface_Habitat,LAVAPOLIS.GreenHouse ,,,,,m^3,from ECLSS,,Dependent Variable,
Surface_Habitat,Marineris.GreenHouse ,,,,,m^3,from ECLSS,,Dependent Variable,
Surface_Habitat,Results.Surface_Habitat.Volume ,,,,,m^3,,,Output,
Surface_Habitat,Results.Surface_Habitat.Mass ,,,,,kg,,,Output,
Surface_Habitat,Results.Surface_Habitat.Power ,,,,,kW,,,Output,
Surface_Habitat,Results.Regolith ,,,,,kg,,,Output,
ECLSS,Habitat_Volume ,,,,,m^3,,,input,
ECLSS,Habitat_Mass ,,,,,kg,,,input,
ECLSS,Cur_Arch.SurfaceCrew.Size,,,,,ppl,,,input,
ECLSS,Cur_Arch.FoodSupply.Amount,percentage of food to be grown on Mars,,,,%,,,input,
ECLSS,Crew_Activity.EVA_Freq ,,,,2,events/week,,,parameter,
ECLSS,Crew_Activity.CM_EVA ,,,,4,ppl/event,,,parameter,
ECLSS,Crew_Activity.EVA_Dur ,,,,6,hours/person,,,parameter,
ECLSS,MARS_2040.Surface_Duration ,,,,780,days,,,parameter,
ECLSS,Cabin_Pressure ,,,,70.3,kPa,engineering decision,,parameter,
ECLSS,Gas_Constant ,,,,8.31451,J/K*mol,,,parameter,
ECLSS,O2_Mol_Ratio ,,,,26.5,%,BVAD pg. 28,,parameter,
ECLSS,CO2_Mol_Ratio ,,,,0.57,%,BVAD pg. 28,,parameter,
ECLSS,Temperature,,,,296,K,BVAD pg. 28,,parameter,
ECLSS,Habitat_Leakage_Rate ,,,,0.05,%/day,BVAD pg. 28,,parameter,
ECLSS,Habitat_CO2_Generation ,,,,1.04,kg/CM/day,BVAD pg. 50,,parameter,
ECLSS,Habitat_O2_Consumption ,,,,0.816,kg/CM/day,BVAD pg. 50,,parameter,
ECLSS,UPA_Efficiency ,efficiency to reuse water from urine flush,,,74,%,,,parameter,
ECLSS,WPA_Efficiency ,efficiency to reuse waste water,,,100,%,,,parameter,
ECLSS,Earth_Food_Mass ,,,,2.3,kg/CM/day,BVAD pg. 56,,parameter,
ECLSS,Earth_Food_Volume ,,,,0.00657,m^3,BVAD pg. 56,,parameter,
ECLSS,CrewTime_FoodGrowth ,,,,13.1,CM*hr/m^3/yr,BVAD pg. 163,,parameter,
ECLSS,Mars_Food_Prep ,time to prepare food grown on Mars,,,0.83,CM*hr/CM*day,BVAD pg. 109,,parameter,
ECLSS,Earth_Food_Prep ,time to prepare food brought from earth,,,0.17,CM*hr/CM*day,BVAD pg. 109,,parameter,
ECLSS,EVA_Oxygen_Loss_Rate ,,,,0.092,kg/CM/hr,BVAD 131,,parameter,
ECLSS,EVA_Airlock_Volume ,,,,2.9,m^3,BVAD pg 131,,parameter,
ECLSS,EVA_Airlock_Gas_Loss ,,,,13.8,kPa,MarsOne,,parameter,
ECLSS,EVA_Oxygen_Consumption ,,,,0.075,kg/CM/hr,BVAD pg. 139,,parameter,
ECLSS,EVA_CO2_Production ,,,,0.093,kg/CM/hr,BVAD pg 139,,parameter,
ECLSS,EVA_Cooling_Loss ,,,,0.625,kg/CM/day,BVAD pg. 130,,parameter,
ECLSS,EVA_Water_Consumption ,,,,0.24,kg/CM/day,BVAD pg. 139,,parameter,
ECLSS,Results.ECLSS.Consumables_Mass ,,,,,kg,,,output,
ECLSS,Results.ECLSS.Consumables_Volume,,,,,m^3,,,output,
ECLSS,Results.ECLSS.Spares_Mass,,,,,kg,,,output,
ECLSS,Results.ECLSS.Spares_Volume,,,,,m^3,,,output,
ECLSS,Results.ECLSS.Mass,,,,,kg,,,output,
ECLSS,Results.ECLSS.Power,,,,,kW,,,output,
ECLSS,Results.ECLSS.Volume,,,,,m^3,,,output,
ECLSS,Results.ECLSS.Replacements_Mass,,,,,kg,,,output,
ECLSS,Results.ECLSS.Replacements_Volume,,,,,m^3,,,output,
ECLSS,Results.ECLSS.Lighting_Mass,,,,,kg,,,output,
ECLSS,Results.ECLSS.Lighting_Volume,,,,,m^3,,,output,
ECLSS,Results.ECLSS.Lighting_Power,,,,,kW,,,output,
